변극, 극변
변급, 급변
변기증, 증기변
변기통, 통변
변농혈, 혈변
변두죽, 죽변
변명, 명답변
변변, 변상가변
변분학, 학부통변
변상가변, 변변
변성명, 명변
변월, 월변
변음표, 표변
변죽, 죽을사변
변측, 측변
변태근, 근변
변핵, 핵변
변현, 현상무변
붕각, 각지붕
붕궤, 궤붕
붕대학, 학구소붕
붕산면, 면붕
붕어톱, 톱날지붕
빙결, 결빙
빙극, 극빙
빙빙, 빙하빙
빙식, 식빙
빙정운, 운빙
빙증, 증빙
빙청, 청빙
빙편, 편빙
빙폐, 폐빙
빙표, 표류빙
빙하빙, 빙빙
빙활, 활빙
빵죽, 죽빵
뽕순, 순뽕
뽕잎, 잎뽕
뿔각, 각뿔
삭각, 각삭
삭갑, 갑삭
삭뇨증, 증삭
삭망월, 월삭
삭변증, 증식삭
삭삭, 삭즉삭
삭은석회, 회삭
삭적, 적삭
삭즉삭, 삭삭
삭축, 축삭
삯짐, 짐바릿삯
섭새김, 김광섭
솜무명, 명주솜
쇄골통, 통색인쇄
쇄교, 교정쇄
쇄국적, 적쇄
쇄족, 족쇄
쇄폐, 폐쇄
숙근, 근숙
숙낙, 낙지백숙
숙답, 답숙
숙면, 면숙
숙명, 명숙
숙설청, 청숙
숙순, 순숙
숙완, 완숙
숙은각, 각숙
숙족, 족숙
숙청, 청어백숙
숙혜, 혜숙
순각, 각순
순간적, 적순
순갱노회, 회순
순검청, 청순
순견, 견순
순결, 결순
순교, 교순
순교자극, 극순
순귀편, 편순
순근, 근순
순금속공학, 학력순
순로식, 식순
순리득, 득점순
순리윤, 윤순
순명, 명자순
순문학, 학벌순
순뽕, 뽕순
순수출, 출순
순숙, 숙순
순아접, 접수순
순육, 육순
순응, 응순
순장바둑, 둑순
순점, 점수순
순접, 접순
순진무결, 결제순
순천명, 명정언순
순행, 행순
순홍, 홍순
순획, 획순
순효, 효순
슴바꾸, 꾸부슴
식각, 각아붓자식
식객, 객관식
식견, 견식
식곤, 곤식
식곤증, 증류식
식교육, 육식
식구덕, 덕장형양식
식궐, 궐식
식균, 균실번식
식근, 근대식
식단표, 표고식
식당명, 명령식
식당표, 표식
식당형, 형식
식도락, 락성식
식도락적, 적립식
식료미생물학, 학식
식료품점, 점감식
식맹, 맹무식
식면, 면무식
식물극, 극방정식
식물병학, 학원식
식물신경실조증, 증발식
식물적, 적반하장식
식물학적, 적분할식
식미벽, 벽식
식미증, 증식
식민주의적, 적형식
식민지리윤, 윤리의식
식민지적, 적회식
식변, 변경식
식별명, 명명식
식복증, 증양식
식분증, 증정식
식빙, 빙식
식생활, 활강식
식수통, 통곡식
식순, 순로식
식심통, 통보식
식약청, 청개구리식
식용균, 균형식
식용근, 근사식
식용육, 육아식
식육점, 점강식
식재연명, 명식
식점, 점멸식
식지가락, 락식
식청, 청식
식탁, 탁상공론식
식탐, 탐식
식태창, 창단식
식통, 통식
식품점, 점식
식향, 향식
식현, 현대식
식혈, 혈식
식혜암죽, 죽식
식회, 회귀식
식희, 희소식
십이궁, 궁팔십
십일년제의무교육, 육십
싸창, 창싸
싸창갑, 갑분싸
쌀깡, 깡내쌀
쌀통, 통쌀
쐬통, 통쐬
앙면, 면앙
앙흠, 흠앙
와견, 견갑하와
와곤, 곤와
와괘, 괘와
와궁, 궁하와
와글북적, 적연와
와룡면, 면와
와묘, 묘두와
와탑지측, 측두와
와편, 편도상와
와폐, 폐식잠와
와해적, 적와
와훈, 훈제와
완교, 교접완
완급, 급완
완도군청, 청완
완둔, 둔완
완명, 명완
완숙, 숙완
완족, 족완
완향, 향완
운각, 각운
운격, 격구운
운교, 교운
운궁, 궁운
운권천청, 청백운
운김, 김소운
운동자동증, 증운
운동적, 적권운
운동학, 학문운
운동회, 회전운
운둔근, 근두운
운륜, 륜회시운
운명, 명운
운명론적, 적란운
운명적, 적운
운모편, 편난운
운벽, 벽운
운빙, 빙정운
운송점, 점운
운수공학, 학운
운수불행, 행머리운
운우락, 락다운
운월, 월운
운전탑, 탑다운
운창, 창운
운천교, 교차운
운통, 통운
운편, 편운
운행, 행운
운향, 향운
운형정규, 규운
운혜, 혜운
운회옥편, 편적운
운휴, 휴지운
운흥, 흥운
월각, 각월
월강공덕, 덕월
월객, 객월
월궁, 궁월
월극, 극월
월락, 락월
월례회, 회귀월
월륜, 륜월
월만즉휴, 휴월
월맹, 맹월
월명, 명월
월백풍청, 청월
월변, 변월
월변교, 교월
월삭, 삭망월
월산교, 교점월
월식창, 창월
월운, 운월
월월이청청, 청풍명월
월편, 편월
월하향, 향월
월현, 현야월
월홍, 홍월
월회, 회월
월흥, 흥월
육간대청, 청량사육
육감적, 적육
육관청, 청육
육교, 교육
육권학, 학교전교육
육근, 근육
육덕, 덕육
육도만행, 행시주육
육둔, 둔육
육륜회, 회과육
육수면, 면비교육
육순, 순육
육식, 식교육
육십, 십일년제의무교육
육아식, 식용육
육청, 청정육
육편, 편육
육합혈, 혈육
육혈, 혈합육
윤리덕, 덕윤
윤리의식, 식민지리윤
윤명, 명윤
윤순, 순리윤
윤제홍, 홍윤
윤창, 창윤
윤현, 현상윤
윤혈, 혈윤
융궁, 궁륭
융기하면, 면융
융통, 통융
융흥, 흥융
읍덕, 덕산읍
읍증, 증평읍
읍청, 청도읍
읍폐, 폐읍
읍회, 회천읍
응견, 견응
응결, 결응
응결핵, 핵반응
응교, 교반응
응급적, 적응
응급책, 책응
응답, 답응
응답속도기준, 준응
응명, 명반응
응순, 순응
응접, 접응
응창, 창응
응향, 향응
응현, 현응
잇템, 템플릿
잉어회, 회잉
잎뽕, 뽕잎
쟁갑, 갑오농민전쟁
쟁반자장면, 면인정쟁
적각, 각론적
적강홍, 홍건적
적개사격, 격리적
적객, 객관적
적격, 격리주의적
적견, 견방적
적결, 결과론적
적경축, 축소적
적고적, 적시적
적공누덕, 덕적
적과협, 협동적
적광회, 회고적
적교, 교과서적
적궁, 궁극적
적권운, 운동적
적궤, 궤변적
적극, 극기적
적극적, 적의적
적극적어휘, 휘적
적극책, 책동적
적근, 근간적
적대적, 적적
적덕, 덕적덕적
적도면, 면방적
적도축, 축자적
적락, 락적
적란운, 운명론적
적랭, 랭소적
적랭복통, 통계적
적량면, 면역학적
적리균, 균등적
적립식, 식도락적
적립형, 형상적
적면, 면적
적멸, 멸시적
적멸궁, 궁적상적
적멸위락, 락천적
적명, 명령적
적모구증, 증거적
적묘, 묘구도적
적반하장식, 식물적
적발숙청, 청각적
적발증, 증명적
적벽, 벽적
적변, 변경적
적부적, 적층적
적분학, 학과적
적분할식, 식물학적
적사구근, 근궤적
적삭, 삭적
적상면, 면책적
적색근, 근대적
적색뇨증, 증적
적색맹, 맹목적
적색시증, 증폭적
적색핵, 핵가족적
적색혁명, 명목적
적색황화홍, 홍계적
적서교, 교량적
적설척, 척적
적성권축, 축적
적쇄, 쇄국적
적순, 순간적
적승계족, 족벌적
적시적, 적고적
적시정책, 책략적
적시통, 통계학적
적심각, 각적
적십자회, 회귀적
적연와, 와글북적
적온표, 표면적
적와, 와해적
적운, 운명적
적위대성표, 표본적
적유산맥, 맥락적
적육, 육감적
적은짐, 짐승적
적응, 응급적
적응형, 형성적
적의적, 적극적
적적, 적대적
적점, 점강적
적정창, 창발적
적족, 족적
적죄, 죄적
적창, 창의적
적첩, 첩적
적청, 청각학적
적축, 축조적
적출, 출세주의적
적측, 측면적
적층적, 적부적
적탁, 탁적
적통, 통괄적
적폐, 폐쇄적
적학, 학구적
적핵, 핵가족주의적
적혈, 혈연적
적형, 형식적
적형식, 식민주의적
적확, 확률적
적회, 회상적
적회식, 식민지적
적획, 획기적
적훈, 훈고학적
적흉, 흉적
점각, 각점
점감궁, 궁극점
점감식, 식료품점
점강식, 식육점
점강적, 적점
점검표, 표고점
점곡면, 면세점
점교, 교점
점균, 균일상점
점그림표, 표구점
점극, 극값점
점근, 근만점
점급, 급전점
점도록, 록색점
점도표, 표본점
점드락, 락점
점득, 득실점
점락, 락제점
점막근, 근성점
점멸식, 식점
점명, 명점
점몽, 몽고반점
점박잇결, 결로점
점발사격, 격자점
점성학, 학용품점
점소리표, 표상점
점수순, 순점
점수표, 표시점
점쉼표, 표식점
점식, 식품점
점신통, 통각점
점심결, 결별점
점액뇨증, 증기점
점액변, 변곡점
점액흉, 흉점
점어상죽, 죽점
점용접, 접근점
점운, 운송점
점음표, 표점
점자책, 책점
점장급, 급제점
점점, 점착점
점점홍, 홍일점
점접촉, 촉매점
점짝, 짝수점
점착, 착력점
점착점, 점점
점찰법회, 회귀점
점편, 편의점
점표, 표정점
점혈, 혈점
접곡면, 면접
접근, 근관접
접근점, 점용접
접근축, 축전용접
접선짐, 짐치대접
접수순, 순아접
접순, 순접
접시굽, 굽대접
접어회, 회시접
접응, 응접
접접, 접촉맞댄용접
접지극, 극접
접촉, 촉접
접촉로라용접, 접촉전기저항용접
접촉맞댄용접, 접접
접촉전기저항용접, 접촉로라용접
젖고임통, 통젖
족견, 견족
족궁, 궁교빈족
족근, 근족
족멸, 멸족
족무지통, 통가족
족벌적, 적승계족
족삼리혈, 혈부족
족쇄, 쇄족
족숙, 숙족
족심통, 통근족
족완, 완족
족저궁, 궁족
족적, 적족
족족, 족지족
족지갑, 갑족
족지족, 족족
족척, 척족
족청, 청담동족
족출, 출근족
족탈불급, 급족
족통, 통크족
족편, 편도족
족형, 형제위수족
죄기죄, 죄상첨죄
죄면, 면죄
죄멸, 멸죄
죄명, 명정기죄
죄상가죄, 죄죄
죄상첨죄, 죄기죄
죄적, 적죄
죄죄, 죄상가죄
죄증, 증뢰죄
